FALL,,,,,,,
Fall 2026 Course Schedule - Undergraduate,,,,,,,
"August 19, 2026 to December 4, 2026",,,,,,,
Changes are in red,,,,,,,
Course Code,Course Name,Professor,Start Time,End Time,Days,Room,Meeting Type
FINA 1312 1,Principles of Finance,Enrika Huseni,11:30 AM,1:00 PM,"Mon, Wed",822,IP - In Person
FINA 3313 1,Financial Markets and Institutions,Riaz Mahmood,2:30 PM,4:00 PM,Thu,822,H - Hybrid
FINA 3314 1,Personal Financial Planning,John Topuz,10:00 AM,11:30 AM,"Mon, Wed",824,IP - In Person
FINA 4319 1,Financial Management,John Topuz,11:30 AM,1:00 PM,"Mon, Wed",824,IP - In Person
FORS 2329 1,Forensic Science and Criminal Justice,M Donmez,10:00 AM,11:30 AM,"Wed, Fri",,OS - Online Synchronous
FORS 3332 1,Forensic Biology,Mike Fulton,11:30 AM,1:00 PM,"Wed, Fri",,OF - Online Flexible
FORS 4333 1,Digital Forensic,Mike Fulton,1:00 PM,2:30 PM,"Wed, Fri",,OF - Online Flexible
FRSH 1311 1,Freshman Seminar,Donald Gary,11:30 AM,1:00 PM,"Tues, Thur",826,IP - In Person
FRSH 1311 2,Freshman Seminar,Donald Gary,1:00 PM,2:30 PM,"Tues, Thur",826,IP - In Person
GEOG 2311 1,Human Geography,Suleyman Incekara,,,,,OF - Online Flexible
GEOL 1311 1,Earth Science,Suleyman Incekara,,,,,OF - Online Flexible
GOVT 2311 1,U.S. Government I,Shirley Gruen,2:30 PM,4:00 PM,"Tues, Thur",,OS - Online Synchronous
GOVT 2312 1,U.S. Government II,Shirley Gruen,4:00 PM,5:30 PM,"Tues, Thur",,OS - Online Synchronous
HIST 1312 1,U.S. History II,Gul Musavi,10:00 AM,11:30 AM,Tue,827,H - Hybrid
HIST 2311 1,World History,Gul Musavi,,,,,OF - Online Flexible
HIST 2314 1,History of Texas,Christopher Gerdes,,,,,OF - Online Flexible
MATH 1311 1,College Algebra,Michael Baker,8:30 AM,10:00 AM,"Mon, Wed",827,IP - In Person
MATH 1311 2,College Algebra,Alina Rajbhandari,,,,,OF - Online Flexible
MATH 1312 1,Statistics,Michael Baker,10:00 AM,11:30 AM,"Mon, Wed",827,IP - In Person
MATH 1313 1,Pre-Calculus,Alina Rajbhandari,8:30 AM,10:00 AM,Wed,824,H - Hybrid
MATH 2314 1,Calculus I,Alina Rajbhandari,8:30 AM,10:00 AM,"Tues, Thur",824,IP - In Person
MATH 2316 1,Linear Algebra,Michael Baker,11:30 AM,1:00 PM,"Tues, Thur",829,IP - In Person
MATH 2317 1,Discrete Mathematics,Michael Baker,11:30 AM,1:00 PM,Wed,827,H - Hybrid
MATH 3319 1,Statistics and Probobility,Karman Kurban,3:00 PM,4:30 PM,Wed,824,H - Hybrid
MATH 3320 1,Differential Equation,Alina Rajbhandari,11:30 AM,1:00 PM,Thu,824,H - Hybrid
MATH 3329 1,Teaching Elementary Mathematics II,Karman Kurban,3:00 PM,4:30 PM,Thu,825,H - Hybrid
MATH R300 1,Fundamentals of Mathematics,Michael Baker,10:00 AM,11:30 AM,"Tues, Thur",829,IP - In Person
MNGT 2311 1,Management and Organizational Behavior,Richard Alrayes,8:30 AM,10:00 AM,"Tues, Thur",822,IP - In Person
MNGT 4316 1,Human Resource Management,Richard Alrayes,2:30 PM,4:00 PM,"Tues, Thur",824,IP - In Person
MNGT 4319 1,Managerial Decision Models,John Topuz,4:00 PM,5:30 PM,Wed,815,H - Hybrid
MNGT 4320 1,Global Supply Chain Management,Yaseen Bhutto,10:00 AM,11:30 AM,Tue,822,H - Hybrid
PHED 1112 1,Varsity Track/Field,TBA,,,,,IP - In Person
PHED 1114 1,Varsity Basketball,Doze Bryan,,,,,IP - In Person
PHED 1115 1,Varsity Soccer,Kenneth Apande,,,,,IP - In Person
PHED 2315 1,"Physical Activity Skills: Conditioning, Individual and team Sports",Tomas Green,1:00 PM,2:30 PM,"Mon, Wed",827,IP - In Person
